period,impact,duration,depth,ror,srho,prad,incl,teq,dor,steff,slogg,smet,srad,smass,label
33.93373447,0.812,14.561,8503.7,0.095386,0.0371,7.34,86.45,430,13.12,5040,4.628,-0.24,0.705,0.782,FALSE POSITIVE
3.689920099,0.151,2.6557,426.7,0.018878,1.70798,1.89,89.19,1147,10.71,5880,4.518,-0.06,0.917,1.01,CONFIRMED
4.431238488,0.405,3.15,1010.9,0.02933,1.01996,3.25,87.72,1104,10.19,5714,4.428,0.16,1.015,1.007,CONFIRMED
11.37936986,0.911,2.6255,1023.5,0.035628,0.63438,3.95,86.8,806,16.31,5714,4.428,0.16,1.015,1.007,CONFIRMED
26.39432897,0.602,3.573,1510.9,0.03681,2.93923,3.07,89.28,489,47.7,5129,4.595,0.02,0.763,0.846,CONFIRMED
13.57078281,0.866,3.3539,511.7,0.023908,0.49865,2.64,87.07,785,16.93,5854,4.406,-0.12,1.012,0.951,CONFIRMED
7.12594387,0.898,3.0014,192.4,0.01512,0.23879,1.79,84.02,997,8.62,5779,4.339,-0.06,1.087,0.941,CONFIRMED
7.442652004,0.137,2.3078,24446,0.143936,7.48712,15.03,89.72,967,27.99,6108,4.469,-0.3,0.956,0.981,FALSE POSITIVE
16.38489988,0.001,3.0249,1127.1,0.029758,5.4538,2,90,433,42.62,4126,4.661,0.04,0.615,0.633,CONFIRMED
7.8774163,0.041,2.0805,1306.1,0.03209,8.09685,2.16,89.92,553,29.84,4126,4.661,0.04,0.615,0.633,CONFIRMED
36.4454001,0.028,4.007,1122.3,0.029681,5.21237,1.99,89.98,332,71.53,4126,4.661,0.04,0.615,0.633,CONFIRMED
3.728732147,0.558,2.683,5226.5,0.068178,1.24118,6.02,86.7,1023,9.7,5497,4.577,-0.1,0.809,0.907,CONFIRMED
2.243380573,0.915,1.1196,821.7,0.032248,1.50915,1.99,82.88,822,7.38,4149,4.698,-0.32,0.564,0.578,CONFIRMED
10.405998015,0.324,6.5036,14489,0.111248,0.38489,11.23,88.57,833,13.012,5746,4.393,-0.54,0.924,0.77,FALSE POSITIVE
2.337437946,0.28,1.9982,971.2,0.027998,2.41093,2.34,88.19,1070,8.86,5005,4.595,0.14,0.765,0.85,CONFIRMED
11.59822233,0.679,2.5237,2804.5,0.051287,3.14915,2.65,88.62,396,28.2,3688,4.79,0,0.473,0.503,CONFIRMED
6.575315881,0.39,4.3084,2793.3,0.049152,0.64392,5.31,88.03,1015,11.37,5992,4.415,-0.32,0.989,0.927,CONFIRMED
7.275040844,0.547,7.5377,3001,0.051358,0.10578,4.86,85.29,833,6.66,5485,4.556,0.21,0.867,0.986,CONFIRMED
19.27153892,0.031,2.7594,1219.8,0.031585,8.48241,1.93,89.97,393,55.02,4077,4.702,-0.24,0.56,0.576,CONFIRMED
10.06524317,0.628,1.369,1053.3,0.031153,18.09666,1.91,89.22,488,45.9,4077,4.702,-0.24,0.56,0.576,CONFIRMED
12.3935651,0.883,3.8896,916.6,0.032536,0.27483,2.66,86.13,677,13.07,5557,4.603,-0.4,0.75,0.832,CONFIRMED
43.84439721,0.852,6.802,615.2,0.025934,0.22039,2.87,88.27,531,28.2,5854,4.406,-0.12,1.012,0.951,CONFIRMED
3.341913228,1.213,3.813,725.3,0.243351,0.01791,21.55,56.44,1032,2.19,5295,4.551,-0.02,0.811,0.853,FALSE POSITIVE
1.626630225,1.26,2.1145,1620.6,0.305244,0.09631,32.43,58.03,1547,2.38,5735,4.41,-0.18,0.973,0.889,FALSE POSITIVE
2.711504086,0.023,3.0099,837.5,0.026533,0.91618,3.12,89.81,1420,7.088,6214,4.442,0.07,1.076,1.169,CONFIRMED
7.21203748,0.012,4.0491,950.4,0.028255,0.99867,3.32,89.95,1025,14.003,6214,4.442,0.07,1.076,1.169,CONFIRMED
14.1798187,0.1601,2.505,459.9,0.019561,7.76746,1.88,89.95,711,43.54,5799,4.539,-0.1,0.878,0.975,FALSE POSITIVE
8.47237911,0.022,2.7245,1123.5,0.030119,3.86328,2.59,89.95,751,24.47,5354,4.587,-0.08,0.788,0.884,CONFIRMED
60.4189369,0.094,5.039,931.3,0.027422,4.26444,2.36,89.94,390,93.71,5354,4.587,-0.08,0.788,0.884,CONFIRMED
12.611904345,0.55,5.1497,6105.6,0.073758,0.61222,7.4,88.17,753,17.27,5795,4.508,-0.02,0.919,0.992,CONFIRMED
1.433769925,1.268,1.8868,1976.3,0.318591,0.1372,46.58,58.99,1920,2.46,6017,4.22,0.02,1.339,1.083,FALSE POSITIVE
10.31872301,1.215,3.836,871.7,0.247006,0.03681,28.59,78.15,876,5.92,5927,4.409,0.07,1.06,1.05,FALSE POSITIVE
2.539183147,0.238,2.4282,382.1,0.017724,1.46261,2.06,88.28,1332,7.93,5519,4.35,0.14,1.062,0.921,CONFIRMED
6.770300385,0.838,2.0844,1304,0.037414,1.45164,2.77,86.84,812,15.21,5653,4.656,-0.84,0.679,0.767,CONFIRMED
0.444291966,1.258,2.0792,10967,0.396105,0.42351,27.51,39.97,1836,1.641,5255,4.678,-0.72,0.636,0.709,FALSE POSITIVE
20.06036336,0.556,3.3203,1494.7,0.036455,3.09445,1.96,89.21,361,40.4,3950,4.754,-0.46,0.493,0.502,CONFIRMED
46.1842039,0.013,4.758,1394.7,0.033974,3.99779,1.83,89.99,273,76.67,3950,4.754,-0.46,0.493,0.502,CONFIRMED
23.9800854,0.95,5.351,104,0.011879,0.05654,1.31,85.45,649,11.98,5854,4.406,-0.12,1.012,0.951,CONFIRMED
7.82502168,0.708,2.186,520.8,0.022312,2.54508,1.2,87.99,494,20.2,3950,4.754,-0.46,0.493,0.502,CONFIRMED
3.895936525,0.524,2.3111,8544.8,0.08689,2.31292,7.34,87.56,1005,12.29,5557,4.592,-0.3,0.774,0.866,CONFIRMED
22.36646466,0.4,5.228,986.8,0.028938,1.12517,2.32,89.26,536,31,5395,4.615,-0.34,0.734,0.821,CONFIRMED
1.625522174,0.076,2.38963,7969,0.080543,1.28198,9.73,89.22,1579,5.6364,5539,4.322,0.16,1.106,0.935,CONFIRMED
7.544039,1.175,6.222,322.6,0.194187,0.00393,17.47,58.94,838,2.28,5657,4.567,-0.18,0.824,0.919,FALSE POSITIVE
10.328035714,0.281,7.7915,16918,0.118805,0.23528,13.28,88.54,843,10.988,5627,4.359,-0.1,1.024,0.874,FALSE POSITIVE
143.2063047,0.379,8.9302,10566,0.094044,1.83449,8.9,89.83,308,125.8,5485,4.556,0.21,0.867,0.986,CONFIRMED
6.164876,0.646,3.262,55.8,0.007192,0.69664,0.79,86.69,1021,11.19,5854,4.406,-0.12,1.012,0.951,CONFIRMED
60.32494216,0.224,6.6188,20280,0.128744,2.37656,12.19,89.83,411,77.04,5485,4.556,0.21,0.867,0.986,CONFIRMED
29.1598615,0.3619,4.803,488,0.02018,1.92739,1.91,89.38,524,44.2,5485,4.556,0.21,0.867,0.986,CONFIRMED
1.540397253,1.225,2.1541,816.1,0.257087,0.06102,25.69,51.56,1470,1.971,5663,4.53,0.21,0.915,1.034,FALSE POSITIVE
2.99025443,0.014,5.414,589.2,0.021279,0.17407,1.7,89.81,918,4.349,4667,4.578,0.1,0.731,0.737,FALSE POSITIVE
1.594745374,0.514,1.9604,15044,0.115879,1.77544,11.3,85.25,1539,6.203,5934,4.491,-0.38,0.893,0.901,CONFIRMED
20.50588921,0.26,4.0595,2105.5,0.041039,2.64998,3.41,89.62,518,38.91,4905,4.544,-0.04,0.761,0.739,CONFIRMED
3.340218842,0.466,1.9104,1632.6,0.037683,3.23586,2.03,87.85,656,12.4,3950,4.754,-0.46,0.493,0.502,CONFIRMED
2.507089906,1.255,2.0067,1339.2,0.295115,0.11003,30.26,67.79,1326,3.32,5926,4.506,-0.04,0.939,1.03,FALSE POSITIVE
18.64932728,0.08,4.4056,893.6,0.027096,1.97596,3.12,89.86,701,33.12,5775,4.405,0.16,1.053,1.026,CONFIRMED
4.90144976,0.529,4.1654,140.7,0.011136,0.3709,1.7,86.1,1262,7.78,5847,4.191,0.26,1.402,1.113,CONFIRMED
9.75192101,0.949,4.793,418,0.024042,0.044,2.76,80.97,870,6.05,5775,4.405,0.16,1.053,1.026,CONFIRMED
38.5576546,0.911,5.794,993,0.03498,0.19756,4.02,87.91,550,24.9,5775,4.405,0.16,1.053,1.026,CONFIRMED
3.525632539,0.12,2.59959,22335,0.13372,2.43681,11.58,89.41,975,11.699,5150,4.572,0.08,0.793,0.855,CONFIRMED
7.748094239,0.517,3.5957,2472.1,0.046615,1.06292,5.52,88.02,964,15,5973,4.439,0.36,1.085,1.181,CONFIRMED
23.96793669,0.416,3.827,1182.3,0.03141,3.03325,1.8,89.47,329,45.2,3747,4.728,0.1,0.524,0.536,CONFIRMED
8.11437482,0.573,2.2736,1558,0.037204,3.76716,2.1,88.61,460,23.58,3692,4.753,0.28,0.517,0.553,CONFIRMED
38.036729482,0.501,4.34617,82872,0.27018,6.21385,27.5,89.63,500,78.037,5575,4.521,0.36,0.932,1.051,FALSE POSITIVE
3.747838198,1.121,5.0642,616,0.151387,0.00878,13.65,53.12,1031,1.868,5514,4.569,-0.04,0.826,0.926,FALSE POSITIVE
14.74914825,0.173,6.0995,430.2,0.018864,0.55575,2.89,89.47,874,18.56,5847,4.191,0.26,1.402,1.113,CONFIRMED
21.81295996,0.053,4.3791,1175.4,0.030952,2.39175,3.38,89.92,639,39.183,5601,4.41,0.08,0.999,0.934,CONFIRMED
7.91936937,0.733,3.3148,15148,0.121984,1.13074,10.34,87.3,814,15.534,5690,4.588,-0.4,0.776,0.852,FALSE POSITIVE
15.37562369,0.692,3.3169,15337,0.12103,2.43887,11.01,88.73,600,31.24,4986,4.496,0.16,0.833,0.793,CONFIRMED
8.10363271,0.047,3.161,887.9,0.026361,2.33533,2.11,89.87,687,20.09,4861,4.574,-0.08,0.732,0.733,CONFIRMED
4.71510843,0.258,2.506,417.5,0.018268,2.42359,1.46,88.96,823,14.18,4861,4.574,-0.08,0.732,0.733,CONFIRMED
6.365839713,0.524,2.9721,780.7,0.026275,1.41102,2.44,87.92,914,14.46,5776,4.554,-0.18,0.849,0.939,CONFIRMED
5.97581754,0.941,3.065,962.4,0.035468,0.14724,3.86,81.71,1047,6.53,6108,4.471,-0.08,0.997,1.072,FALSE POSITIVE
2.446737317,1.241,4.7211,1177.9,0.278526,0.01691,26.25,44.81,1261,1.749,5764,4.548,-0.12,0.863,0.959,FALSE POSITIVE
3.04033046,0.736,1.8411,10859,0.104023,2.31195,8.99,85.95,1021,10.41,5035,4.519,-0.06,0.791,0.754,CONFIRMED
15.33528675,0.773,3.897,3081.4,0.056,0.81659,5,87.95,610,21.65,5251,4.581,0.21,0.817,0.926,CONFIRMED
7.95825328,0.706,4.377,50,0.006915,0.29918,1.06,85.95,1074,10.01,5847,4.191,0.26,1.402,1.113,CONFIRMED
31.33046135,0.798,5.176,5073.8,0.072904,0.70448,6.5,88.62,481,33.19,5251,4.581,0.21,0.817,0.926,CONFIRMED
3.9043425,0.709,3.831,16228,0.125229,0.39988,12.28,84.06,1104,6.856,5810,4.526,-0.06,0.898,0.989,FALSE POSITIVE
9.286358079,0.377,3.49949,44791,0.19639,2.67897,17.61,89.06,796,23.029,5670,4.523,-0.4,0.821,0.82,FALSE POSITIVE
3.951405455,1.276,2.1862,2453.9,0.331342,0.19337,31.44,76.4,1133,5.42,6046,4.539,-0.38,0.869,0.953,FALSE POSITIVE
23.65369415,0.008,8.2183,3341.8,0.05219,0.41907,7.89,89.98,731,23.142,5739,4.191,0.3,1.384,1.083,CONFIRMED
13.23352214,0.014,6.7372,504.6,0.020278,0.3884,3.06,89.95,888,15.32,5739,4.191,0.3,1.384,1.083,CONFIRMED
6.15560285,0.235,4.9843,285,0.015336,0.40662,2.32,88.56,1146,9.34,5739,4.191,0.3,1.384,1.083,CONFIRMED
2.090811305,0.746,3.388,115.9,0.010686,0.1588,1.62,77.03,1642,3.32,5739,4.191,0.3,1.384,1.083,CONFIRMED
3.180027898,0.196,3.5797,120.3,0.009989,0.5756,1.53,88.34,1458,6.751,5847,4.191,0.26,1.402,1.113,CONFIRMED
50.4467417,0.379,7.159,370.3,0.01767,0.97794,2.67,89.57,568,50.9,5739,4.191,0.3,1.384,1.083,CONFIRMED
